ID,text,target,stance,stance:confidence,against_reason,favor_reason,none_reason,sarcasm,sarcasm:confidence,sentiment,sentiment:confidence,datetime,Date
75, التحول الرقمي إذا تم كما يريدون فلن يكون هناك إستقلال للفرد ستعود العبودية بغلاف رقمي,Digital Transformation,Against,0.8015,A_Explicit,,,No,1.0,Negative,1.0,2021-10-07 04:42:46+00:00,07/10/2021
77, يقولون ابرتها حاارة وتعور اكثر من تطعيم كورونا بعد,Covid Vaccine,Against,0.7314,A_Explicit,,,No,0.8166,Negative,0.8166,2022-05-08 11:54:33+00:00,08/05/2022
78, اعانكم الله وسددكم   وعلى دروب الخير وفقكم الله في مهمتكم الجليله والساميه في ظل التحول الإلكتروني الذي احدث نقلةً نوعيةً متطوره تواكب تطلعات قيادتنا الرشيدة لما فيه خير المواطن والمقيم .,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Positive,1.0,2020-11-10 18:39:08+00:00,10/11/2020
80,كذبه لن يصدقها نفسه جيتس خبر عن إصابة  بيل جيتس بفيروس كورونا ❗❗❗❗⁉️⚠️ واضح أنها كذبه وزيل لموجه جديده في الطريق = جرعات تطعيم جديده سهله المعادله اهوو😁 URL,Covid Vaccine,Against,0.4165,A_Explicit,,,No,0.5091,Negative,0.6365,2022-05-11 20:38:29+00:00,11/05/2022
81,  السلام عليكم متى عمل مركز تطعيم كورونا في الظهران ؟,Covid Vaccine,None,1.0,,,Not clear,No,1.0,Neutral,1.0,2022-04-09 22:34:14+00:00,09/04/2022
82, اعتقد لو تتكاتف البلدية مع الجهات المختصة الاخرى بتشجيع التسوق الالكتروني وتخفيض اسعارها هناك كان بيكون احد اهم ركائز التحول الايجابي لصالح الجميع ومنهاسوف نخفف التزاحم بالمراكز و نفرض الامن والسلامة من الجائحة و توفر اعمال جديدة للجميع و تخف,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Neutral,0.4464,2020-07-07 00:54:54+00:00,07/07/2020
88,#عاجل التعليم العالي |  لا عودة عن التعليم الوجاهي للجامعات  ولا صحة لما يتم تداوله عن التحول للتعليم الإلكتروني. #أحمد_يحيى,Digital Transformation,None,0.7334,,,Not clear,No,1.0,Neutral,1.0,2021-11-16 16:20:13+00:00,16/11/2021
89, هذا الكلام كان زمان.. أما الآن تغير كل شيء .. مع التحول الإلكتروني والحكومة الإلكترونية.. أصبح ملاحظ في جميع الجهات الحكومية السعي لخدمة المراجع واصبحت تسمى المراجع عميل.. وهذا تحول كبير وجيد للمصلحة العامة.  وقد خصص أقسام خدمة عملاء ..  وهذا بفض,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Positive,0.8086,2020-04-04 19:13:57+00:00,04/04/2020
90,مصر كدولة و كحكومة وشعب ماشيين للتحول الرقمي بشكل رهيب 👏🇪🇬  على خطى السعودية في التحول الرقمي و اتمتت جميع خدمات الدولة و المعاملات الحكومية عبر تطبيقات و منصات إلكترونية مثل ابشر و توكلنا و ناجز و صحة ...الخ  يتبع👇 URL,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Positive,0.7844,2021-07-25 18:50:31+00:00,25/07/2021
92,رسميًا صرت ملكة حجوزات تطعيم كورونا اتوقع باقي القطوه الي بالشارع م حجزت لها ههه,Covid Vaccine,Favor,0.6172,,F_Explicit,,Yes,0.8121,Neutral,0.8144,2021-04-22 01:16:36+00:00,22/04/2021
93,"الله يرحمه #دعيج_الخليفه_الصباح  موت""الفجأة""بزدياد وهناك من يقول أن له علاقة بتطعيمات #كورونا‼️  وعليه يا المسؤولين توقعوا هذا الاحتمال ولا تجبروا الناس على الجرعة الثالثة""المعزز""‼️  ولا تجبروا الناس على أي تطعيم آخر وتربطوها بالسفر والمول والسينما.. حتى تتم التجارب السريرية‼️",Covid Vaccine,Against,0.8676,A_Explicit,,,No,1.0,Neutral,0.5272,2021-12-11 10:28:54+00:00,11/12/2021
94,"أول دولة خليجية تلغي كافة إجراءات كورونا.. لا كمامة لا تطعيم لا ""بي سي آر"" URL #جريدة_الرؤية #سلطنة_عمان",Covid Vaccine,None,0.5725,,,Not clear,No,1.0,Neutral,0.5576,2022-04-28 05:23:29+00:00,28/04/2022
95, والله انا لانجهل ذلك لكن اليوم اصبح حكم القوى على الضعيف هوه المسيطر.عندما تذهب وتريد دفع كاش ويقال لك لااقبل الا الكتروني .وعندما الدوله تلزم المتاجر وغيرها بوجود الدفع الالكتروني فأن التحول سيكون اجباريا .,Digital Transformation,Against,0.7753,A_Explicit,,,No,1.0,Negative,0.7572,2022-02-06 12:36:31+00:00,06/02/2022
96,#التحول_الإلكتروني_للخدمات_القضائية  نقطة تحول غي منظومة العمل القانوني ؛ ستوفر الكثير من الوقت على المتقاضين والمحامين عامة ؛ وتسرع من وتيرة العمل القضائي في جميع المحاكم العمانية ومحكمة القضاء الإداري .. URL,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Positive,1.0,2020-06-23 14:02:04+00:00,23/06/2020
97, يشهد التحول الالكتروني في المرفق القضائي نقلة نوعية وتطورًا ملموسًا  سواء بالإجراءات وتبسيطها أو إصدار الأنظمة والقرارات واللوائح وتطويرها  أو بتفعيل التقنية وتوظيفها واستثمارها  توفيراً للجهود  وتسهيلاً على المتقاضين  وسرعةً للفصل في المنازعات ,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Positive,1.0,2020-02-13 11:11:22+00:00,13/02/2020
98,صرّح رئيس الإدارة العامة للتخطيط فضيلة القاضي د/يوسف الفليتي بإطلاق حزمة جديدة من برنامج #بوابة_المحامين و #بوابة_المتقاضين وإقرار دليلها الإجرائي  وذلك ضمن جهود مجلس الشؤون الادارية للقضاء لاستكمال منظومة التحول الرقمي ودعم سرعة الإنجاز وتفعيل وتكامل مسار التقاضي الإلكتروني. URL,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Neutral,0.8213,2020-06-24 20:21:48+00:00,24/06/2020
99, صرّح رئيس الإدارة العامة للتخطيط فضيلة القاضي د/يوسف الفليتي بإطلاق حزمة جديدة من برنامج #بوابة_المحامين و #بوابة_المتقاضين وإقرار دليلها الإجرائي  وذلك ضمن جهود مجلس الشؤون الادارية للقضاء لاستكمال منظومة التحول الرقمي ودعم سرعة الإنجاز وتفعيل ,Digital Transformation,Favor,0.721,,F_Explicit,,No,1.0,Neutral,1.0,2020-06-24 21:34:49+00:00,24/06/2020
101,تطعيم 💉 كوفيد ١٩.. تنظيم رائع شكرا لقيادتنا العظيمه.  شكرا وزارة الصحه  #تطعيم_كورونا ,Covid Vaccine,Favor,1.0,,F_Explicit,,No,1.0,Positive,1.0,2021-01-06 16:41:38+00:00,06/01/2021
106, منصة ثروه بدعم من وزارة   وهي احدى استثمارات    وبادارة عمانية تحمل مستقبلا واعدا بالسلطنة  التحول الالكتروني بجميع القطاعات يسهل الكثير من العمل والجهد والوقت.  ولا ننسى ان هذه المنصه كذلك ساهمت بتوفير بعض الوظائف لل,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Positive,0.8081,2020-05-13 12:47:39+00:00,13/05/2020
107,"#لا_للتطعيم_الاجباري38  ترامب: ""توقفوا عن تطعيم الشباب"". كورونا COVID19 TRUMP URL",Covid Vaccine,Against,1.0,A_Explicit,,,No,1.0,Negative,0.7942,2021-06-21 01:56:18+00:00,21/06/2021
108,#متضرري_اللقاح   طيار الخطوط الجوية التجارية يصور تورم الدماغ ولا يمكنه الطيران بعد لقاح فايزر‼️  #لا_للتطعيم_الاجباري  #لا_تقول_ما_دريت  #الجرعة_الثالثة  #الجرعة_التنشيطية  #الحرية_الطبية URL,Covid Vaccine,Against,1.0,A_Explicit,,,No,1.0,Negative,0.8748,2021-11-04 18:31:37+00:00,04/11/2021
109, مايبيله تفكير ... اسبابه تطعيم كورونا بلا شك جعلت الناس لديها نفس اجرامي وبلا شعور .. والقادم اسوى,Covid Vaccine,Against,1.0,A_Explicit,,,No,1.0,Negative,1.0,2022-04-09 18:10:25+00:00,09/04/2022
112, طريقة بدائية … اعتقد لا تتوافق مع النظام و مع التحول الالكتروني الحاصل. هذا هو الحل الامثل. 👇 URL,Digital Transformation,Favor,0.4146,,F_Explicit,,No,1.0,Negative,0.7188,2021-08-27 13:54:48+00:00,27/08/2021
113, نعم الجائحة سرعت نحو التحول الإلكتروني وغيرت في سلوك المستهلكين لا شك. من الممكن الإعتماد على التجارة الإلكترونية لكن من غير الممكن استبعاد متاجر (الطوب) من المنظومة التجارية  لأسباب حيوية للغاية مثل النشاط العمراني والبطالة. الطوب والإلكتروني,Digital Transformation,Favor,0.5755,,F_Explicit,,No,1.0,Neutral,0.7539,2021-03-12 23:30:20+00:00,12/03/2021
114, الحمد لله هذا بالفعل هو عصر السرعة ويجب على جميع الجهات الاسراع في التحول الإلكتروني وتحقيق أهداف رؤية عمان 2040 وكلنا شركاء لتحقيق هذه الأهداف.,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Positive,0.9087,2020-12-13 12:56:31+00:00,13/12/2020
117, مع مرور الوقت تبين أن تطعيم كورونا فاشل فاشل جدا. اصنعوا تطعيما جديدا. أو علاجا فعالا. وكفاكم تسويقا وترويجاً لهذا التطعيم أبو جرعة رابعة وخامسة!!,Covid Vaccine,Against,1.0,A_Explicit,,,No,1.0,Negative,0.7852,2021-09-07 11:18:47+00:00,07/09/2021
118,MENTION لن يقضي التطعيم على كورونا  لأنه تطعيم فاشل وضعيف,Covid Vaccine,Against,1.0,A_Explicit,,,No,1.0,Negative,1.0,2021-09-18 23:09:09+00:00,18/09/2021
119, اقسم بالله لن ينتهي كورونا لو يتم تطعيم جميع العالم   يجب ان نتعايش معه,Covid Vaccine,Against,0.6786,A_Explicit,,,No,1.0,Negative,0.8727,2021-04-21 01:56:31+00:00,21/04/2021
121, قسم بالله تطعيم الافلونزا بالمستوصف ابرك من لقاح كورونا.كله كذب استنزاف اموال الدول وحلبها.,Covid Vaccine,Against,1.0,A_Explicit,,,No,0.5714,Negative,1.0,2021-04-17 21:46:59+00:00,17/04/2021
124,   مااغيى من اللي يقول لقاح كورونا بدون تطعيم ويسجلها في توكلنا غير اللي يصدقه .. هذول نصابين ويسحبو جميع معلومات الشخص وامواله,Covid Vaccine,Against,0.5751,A_Explicit,,,No,0.805,Negative,1.0,2022-05-12 01:14:21+00:00,12/05/2022
126,    تطعيم كورونا بدون حضور !!! وتنزل في توكلنا كمان ..,Covid Vaccine,Against,0.611,A_Explicit,,,No,0.8821,Neutral,0.7515,2022-04-18 09:05:24+00:00,18/04/2022
128,التحول الإلكتروني العظيم السائد في مجالات الدولة كافة ودبي خاصة   فمن يصل به التفكير أنه يأتي عليه وقت يعمل في منزله كما هو بمكتبه ولا حاجة لوجوده في المكتب ونسبة الإنجاز تكون مضاعفة إنه استشراف المستقبل إنه محمد بن راشد آل مكتوم العقلية الفذة .,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Positive,1.0,2021-02-07 13:07:05+00:00,07/02/2021
129,#تطعيم بعد التراويح و”صفر إصابات” آخر مستجدات كورونا بمصر URL,Covid Vaccine,None,1.0,,,Not clear,No,0.8447,Neutral,0.8447,2022-04-08 19:57:41+00:00,08/04/2022
130,MENTION MENTION MENTION MENTION كل اللقاحات الي اخذناها واحنا صغار فشهادة التطعيم حق اوبئه سابقه معناها برضوا مؤامره؟!! تكفون بس عاد مو كل شي مؤامره ترا لقاح كورونا بعد كم سنه بيصير المواليد يأخذونها للحمايه بعد الله مثل حق شلل الاطفال والحصبه وكذا تطعيم,Covid Vaccine,Favor,0.7783,,F_Explicit,,No,1.0,Neutral,0.6841,2021-07-24 01:34:24+00:00,24/07/2021
131,MENTION و دام الطب قائم على الفائدة تفوق الخطر ليش ما توقفون تطعيم الأطفال و قد ثبت أن كورونا لا تؤذيهم بينما التطعيم احتمال أضعاف إن يؤذي صحتهم🤨,Covid Vaccine,Against,1.0,A_Explicit,,,No,1.0,Negative,1.0,2021-11-18 11:33:40+00:00,18/11/2021
132,MENTION MENTION نفس فكره تطعيم الانفلونزا تاخذيه علشان تجيك الاعراض خفيفه وم تطيحك وتقوى مناعتك .. كدا لقاح كورونا يقوي مناعتك,Covid Vaccine,Favor,0.5176,,F_Explicit,,No,1.0,Positive,0.8857,2021-06-05 15:59:05+00:00,05/06/2021
133,"ربط وزراة الصحة مع شركة ( التعاونية) عن طريق منصة ( نفيس ) وبجميع شركات التامين  تعزيزًا لإدارة عمليات التأمين الصحي.. في إطار التحول الرقمي ""التعاونية"" تستكمل الربط الإلكتروني",Digital Transformation,Favor,0.7393,,F_Explicit,,No,1.0,Neutral,0.7185,2021-10-24 14:52:02+00:00,24/10/2021
134,      كما ذكرت  هذا التحول التقني (لا) بد أن يواكبه تحول على مستوى العقول,Digital Transformation,None,0.7448,,,Not clear,No,1.0,Neutral,0.5907,2022-05-05 18:50:28+00:00,05/05/2022
135,التحول الالكتروني أصبح مطلب أساسي URL,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Positive,0.5611,2021-02-28 11:30:14+00:00,28/02/2021
143,MENTION هههه لسا ما اقتنعت انه في كورونا عشان اخذ تطعيم 😂,Covid Vaccine,Against,0.7664,A_Explicit,,,Yes,1.0,Neutral,0.6332,2021-08-31 12:25:11+00:00,31/08/2021
144, نتايج تطبيق هذا التحول بتكون في سرعة التجاوب و  معرفة حالات الاستحقاق بين فترة والثانية  وتوقيع العقود الإلكتروني وهذا من المبادرات المميزة لدى الاسكان URL,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Neutral,0.6969,2020-04-12 18:41:22+00:00,12/04/2020
